,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
80,Dioni,38.023,23.933,2019-05-11,0,18,4,90,72,10
81,Dioni,38.023,23.933,2019-05-11,300,16,2,45,73,10
82,Dioni,38.023,23.933,2019-05-11,600,16,5,25,60,10
83,Dioni,38.023,23.933,2019-05-11,900,21,8,25,45,10
84,Dioni,38.023,23.933,2019-05-11,1200,22,8,65,47,10
85,Dioni,38.023,23.933,2019-05-11,1500,22,9,115,49,10
86,Dioni,38.023,23.933,2019-05-11,1800,20,10,135,63,10
87,Dioni,38.023,23.933,2019-05-11,2100,19,8,180,68,10
88,Dioni,38.023,23.933,2019-05-12,0,18,5,205,71,10
89,Dioni,38.023,23.933,2019-05-12,300,17,5,225,73,10
90,Dioni,38.023,23.933,2019-05-12,600,18,5,205,58,10
91,Dioni,38.023,23.933,2019-05-12,900,21,9,180,49,10
92,Dioni,38.023,23.933,2019-05-12,1200,22,14,180,47,10
93,Dioni,38.023,23.933,2019-05-12,1500,22,18,180,45,10
94,Dioni,38.023,23.933,2019-05-12,1800,20,15,180,58,10
95,Dioni,38.023,23.933,2019-05-12,2100,18,11,155,65,10
96,Dioni,38.023,23.933,2019-05-13,0,17,9,155,70,10
97,Dioni,38.023,23.933,2019-05-13,300,15,8,155,73,10
98,Dioni,38.023,23.933,2019-05-13,600,17,5,155,56,10
99,Dioni,38.023,23.933,2019-05-13,900,20,11,155,44,9
100,Dioni,38.023,23.933,2019-05-13,1200,21,12,155,43,7
101,Dioni,38.023,23.933,2019-05-13,1500,21,19,155,43,5
102,Dioni,38.023,23.933,2019-05-13,1800,20,13,135,55,10
103,Dioni,38.023,23.933,2019-05-13,2100,17,10,135,66,9
104,Dioni,38.023,23.933,2019-05-14,0,17,6,115,71,10
105,Dioni,38.023,23.933,2019-05-14,300,17,6,90,73,10
106,Dioni,38.023,23.933,2019-05-14,600,16,6,90,69,10
107,Dioni,38.023,23.933,2019-05-14,900,20,13,135,57,10
108,Dioni,38.023,23.933,2019-05-14,1200,21,17,155,58,10
109,Dioni,38.023,23.933,2019-05-14,1500,21,21,180,60,10
110,Dioni,38.023,23.933,2019-05-14,1800,19,19,180,77,10
111,Dioni,38.023,23.933,2019-05-14,2100,17,11,180,82,10
112,Dioni,38.023,23.933,2019-05-15,0,16,6,180,83,10
113,Dioni,38.023,23.933,2019-05-15,300,17,4,225,84,10
114,Dioni,38.023,23.933,2019-05-15,600,16,4,315,63,10
115,Dioni,38.023,23.933,2019-05-15,900,20,6,270,53,10
116,Dioni,38.023,23.933,2019-05-15,1200,22,9,205,55,10
