,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
0,Aigeirouses,38.07,23.159,2019-05-01,0,15,12,315,58,10
1,Aigeirouses,38.07,23.159,2019-05-01,300,15,13,315,57,10
2,Aigeirouses,38.07,23.159,2019-05-01,600,14,10,315,46,10
3,Aigeirouses,38.07,23.159,2019-05-01,900,18,9,270,32,10
4,Aigeirouses,38.07,23.159,2019-05-01,1200,21,12,225,30,10
5,Aigeirouses,38.07,23.159,2019-05-01,1500,21,15,205,34,10
6,Aigeirouses,38.07,23.159,2019-05-01,1800,18,12,45,50,10
7,Aigeirouses,38.07,23.159,2019-05-01,2100,15,11,315,51,10
8,Aigeirouses,38.07,23.159,2019-05-02,0,14,13,315,57,10
9,Aigeirouses,38.07,23.159,2019-05-02,300,13,12,315,64,10
10,Aigeirouses,38.07,23.159,2019-05-02,600,14,13,315,54,10
11,Aigeirouses,38.07,23.159,2019-05-02,900,19,10,315,38,10
12,Aigeirouses,38.07,23.159,2019-05-02,1200,22,9,270,33,10
13,Aigeirouses,38.07,23.159,2019-05-02,1500,21,11,205,35,10
14,Aigeirouses,38.07,23.159,2019-05-02,1800,19,12,205,49,10
15,Aigeirouses,38.07,23.159,2019-05-02,2100,17,9,225,62,10
16,Aigeirouses,38.07,23.159,2019-05-03,0,15,9,270,67,10
17,Aigeirouses,38.07,23.159,2019-05-03,300,14,11,315,70,10
18,Aigeirouses,38.07,23.159,2019-05-03,600,15,10,315,57,10
19,Aigeirouses,38.07,23.159,2019-05-03,900,20,9,270,39,10
20,Aigeirouses,38.07,23.159,2019-05-03,1200,23,13,225,35,10
21,Aigeirouses,38.07,23.159,2019-05-03,1500,22,19,205,44,10
22,Aigeirouses,38.07,23.159,2019-05-03,1800,19,17,180,55,10
23,Aigeirouses,38.07,23.159,2019-05-03,2100,18,9,180,60,10
24,Aigeirouses,38.07,23.159,2019-05-04,0,17,5,205,64,10
25,Aigeirouses,38.07,23.159,2019-05-04,300,16,3,45,67,10
26,Aigeirouses,38.07,23.159,2019-05-04,600,16,5,270,55,10
27,Aigeirouses,38.07,23.159,2019-05-04,900,18,9,45,51,10
