,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
73,Anthousa,38.025,23.876,2019-05-10,300,15,9,270,65,10,0
74,Anthousa,38.025,23.876,2019-05-10,600,16,9,270,52,10,0
75,Anthousa,38.025,23.876,2019-05-10,900,21,8,45,42,10,0
76,Anthousa,38.025,23.876,2019-05-10,1200,22,9,205,44,10,0
77,Anthousa,38.025,23.876,2019-05-10,1500,22,11,155,46,10,0
78,Anthousa,38.025,23.876,2019-05-10,1800,20,11,135,59,10,0
79,Anthousa,38.025,23.876,2019-05-10,2100,18,7,115,66,10,0
80,Anthousa,38.025,23.876,2019-05-11,0,18,4,90,72,10,0
81,Anthousa,38.025,23.876,2019-05-11,300,16,2,45,73,10,0
82,Anthousa,38.025,23.876,2019-05-11,600,16,5,25,60,10,0
83,Anthousa,38.025,23.876,2019-05-11,900,21,8,25,45,10,0
84,Anthousa,38.025,23.876,2019-05-11,1200,22,8,65,47,10,0
85,Anthousa,38.025,23.876,2019-05-11,1500,22,9,115,49,10,0
86,Anthousa,38.025,23.876,2019-05-11,1800,20,10,135,63,10,0
87,Anthousa,38.025,23.876,2019-05-11,2100,19,8,180,68,10,0
88,Anthousa,38.025,23.876,2019-05-12,0,18,5,205,71,10,0
89,Anthousa,38.025,23.876,2019-05-12,300,17,5,225,73,10,0
90,Anthousa,38.025,23.876,2019-05-12,600,18,5,205,58,10,0
91,Anthousa,38.025,23.876,2019-05-12,900,21,9,180,49,10,0
92,Anthousa,38.025,23.876,2019-05-12,1200,22,14,180,47,10,0
93,Anthousa,38.025,23.876,2019-05-12,1500,22,18,180,45,10,0
94,Anthousa,38.025,23.876,2019-05-12,1800,20,15,180,58,10,0
95,Anthousa,38.025,23.876,2019-05-12,2100,18,11,155,65,10,0
96,Anthousa,38.025,23.876,2019-05-13,0,17,9,155,70,10,0
97,Anthousa,38.025,23.876,2019-05-13,300,15,8,155,73,10,0
98,Anthousa,38.025,23.876,2019-05-13,600,17,5,155,56,10,0
99,Anthousa,38.025,23.876,2019-05-13,900,20,11,155,44,9,0
100,Anthousa,38.025,23.876,2019-05-13,1200,21,12,155,43,7,0
101,Anthousa,38.025,23.876,2019-05-13,1500,21,19,155,43,5,0
102,Anthousa,38.025,23.876,2019-05-13,1800,20,13,135,55,10,0
103,Anthousa,38.025,23.876,2019-05-13,2100,17,10,135,66,9,0
104,Anthousa,38.025,23.876,2019-05-14,0,17,6,115,71,10,0
105,Anthousa,38.025,23.876,2019-05-14,300,17,6,90,73,10,0
106,Anthousa,38.025,23.876,2019-05-14,600,16,6,90,69,10,0
107,Anthousa,38.025,23.876,2019-05-14,900,20,13,135,57,10,0
108,Anthousa,38.025,23.876,2019-05-14,1200,21,17,155,58,10,0
109,Anthousa,38.025,23.876,2019-05-14,1500,21,21,180,60,10,0
110,Anthousa,38.025,23.876,2019-05-14,1800,19,19,180,77,10,0
111,Anthousa,38.025,23.876,2019-05-14,2100,17,11,180,82,10,0
112,Anthousa,38.025,23.876,2019-05-15,0,16,6,180,83,10,0
113,Anthousa,38.025,23.876,2019-05-15,300,17,4,225,84,10,0
114,Anthousa,38.025,23.876,2019-05-15,600,16,4,315,63,10,0
115,Anthousa,38.025,23.876,2019-05-15,900,20,6,270,53,10,0
116,Anthousa,38.025,23.876,2019-05-15,1200,22,9,205,55,10,0
117,Anthousa,38.025,23.876,2019-05-15,1500,21,19,155,57,10,0
118,Anthousa,38.025,23.876,2019-05-15,1800,18,14,155,66,10,0
119,Anthousa,38.025,23.876,2019-05-15,2100,17,9,205,70,10,0
120,Anthousa,38.025,23.876,2019-05-16,0,17,4,180,70,10,0
121,Anthousa,38.025,23.876,2019-05-16,300,15,3,45,71,10,0
122,Anthousa,38.025,23.876,2019-05-16,600,16,5,270,57,10,0
123,Anthousa,38.025,23.876,2019-05-16,900,21,8,45,48,10,0
124,Anthousa,38.025,23.876,2019-05-16,1200,22,12,225,48,10,0
125,Anthousa,38.025,23.876,2019-05-16,1500,22,16,180,47,10,0
126,Anthousa,38.025,23.876,2019-05-16,1800,20,13,180,58,10,0
127,Anthousa,38.025,23.876,2019-05-16,2100,19,8,205,61,10,0
128,Anthousa,38.025,23.876,2019-05-17,0,18,5,270,67,10,0
129,Anthousa,38.025,23.876,2019-05-17,300,16,4,225,71,10,0
130,Anthousa,38.025,23.876,2019-05-17,600,16,4,115,58,10,0
131,Anthousa,38.025,23.876,2019-05-17,900,20,5,225,49,10,0
132,Anthousa,38.025,23.876,2019-05-17,1200,22,6,155,52,10,0
133,Anthousa,38.025,23.876,2019-05-17,1500,22,8,65,55,9,0
134,Anthousa,38.025,23.876,2019-05-17,1800,21,6,115,63,10,0
135,Anthousa,38.025,23.876,2019-05-17,2100,19,4,155,68,10,0
136,Anthousa,38.025,23.876,2019-05-18,0,17,6,270,69,10,0
137,Anthousa,38.025,23.876,2019-05-18,300,16,7,315,70,10,0
138,Anthousa,38.025,23.876,2019-05-18,600,17,7,315,57,10,0
139,Anthousa,38.025,23.876,2019-05-18,900,23,6,45,47,10,0
140,Anthousa,38.025,23.876,2019-05-18,1200,24,6,225,45,10,0
141,Anthousa,38.025,23.876,2019-05-18,1500,24,14,180,43,10,0
142,Anthousa,38.025,23.876,2019-05-18,1800,21,14,180,54,10,0
143,Anthousa,38.025,23.876,2019-05-18,2100,20,9,180,57,10,0
144,Anthousa,38.025,23.876,2019-05-19,0,19,8,180,59,10,0
145,Anthousa,38.025,23.876,2019-05-19,300,18,6,155,62,10,0
146,Anthousa,38.025,23.876,2019-05-19,600,18,8,155,56,10,0
147,Anthousa,38.025,23.876,2019-05-19,900,22,13,180,45,10,0
148,Anthousa,38.025,23.876,2019-05-19,1200,23,17,180,46,10,0
149,Anthousa,38.025,23.876,2019-05-19,1500,23,21,180,47,10,0
150,Anthousa,38.025,23.876,2019-05-19,1800,21,18,155,63,10,0
151,Anthousa,38.025,23.876,2019-05-19,2100,19,13,155,70,10,0
152,Anthousa,38.025,23.876,2019-05-20,0,18,10,180,72,10,0
153,Anthousa,38.025,23.876,2019-05-20,300,17,7,225,66,10,0
154,Anthousa,38.025,23.876,2019-05-20,600,18,7,270,48,10,0
155,Anthousa,38.025,23.876,2019-05-20,900,23,8,45,35,10,0
156,Anthousa,38.025,23.876,2019-05-20,1200,24,11,205,39,10,0
157,Anthousa,38.025,23.876,2019-05-20,1500,25,13,180,43,10,0
158,Anthousa,38.025,23.876,2019-05-20,1800,23,13,155,57,10,0
159,Anthousa,38.025,23.876,2019-05-20,2100,20,10,155,67,10,0
160,Anthousa,38.025,23.876,2019-05-21,0,19,6,45,68,10,0
161,Anthousa,38.025,23.876,2019-05-21,300,18,8,315,68,10,0
162,Anthousa,38.025,23.876,2019-05-21,600,20,8,270,49,10,0
163,Anthousa,38.025,23.876,2019-05-21,900,24,8,270,39,10,0
164,Anthousa,38.025,23.876,2019-05-21,1200,25,8,45,42,10,0
165,Anthousa,38.025,23.876,2019-05-21,1500,25,15,225,44,10,0
166,Anthousa,38.025,23.876,2019-05-21,1800,23,14,225,57,10,0
167,Anthousa,38.025,23.876,2019-05-21,2100,22,10,45,45,10,0
168,Anthousa,38.025,23.876,2019-05-22,0,21,10,315,45,10,0
169,Anthousa,38.025,23.876,2019-05-22,300,18,9,315,46,10,0
170,Anthousa,38.025,23.876,2019-05-22,600,18,8,315,36,10,0
171,Anthousa,38.025,23.876,2019-05-22,900,24,7,270,33,10,0
172,Anthousa,38.025,23.876,2019-05-22,1200,24,8,205,33,10,0
173,Anthousa,38.025,23.876,2019-05-22,1500,24,10,155,32,10,0
174,Anthousa,38.025,23.876,2019-05-22,1800,22,10,155,42,10,0
175,Anthousa,38.025,23.876,2019-05-22,2100,20,7,205,47,10,0
176,Anthousa,38.025,23.876,2019-05-23,0,20,9,205,53,10,0
177,Anthousa,38.025,23.876,2019-05-23,300,19,7,225,54,10,0
178,Anthousa,38.025,23.876,2019-05-23,600,20,5,270,47,10,0
179,Anthousa,38.025,23.876,2019-05-23,900,25,5,270,38,10,0
180,Anthousa,38.025,23.876,2019-05-23,1200,26,8,205,38,10,0
181,Anthousa,38.025,23.876,2019-05-23,1500,26,12,155,39,10,0
182,Anthousa,38.025,23.876,2019-05-23,1800,24,13,135,52,10,0
183,Anthousa,38.025,23.876,2019-05-23,2100,19,9,155,62,10,0
184,Anthousa,38.025,23.876,2019-05-24,0,18,10,270,59,7,0
185,Anthousa,38.025,23.876,2019-05-24,300,17,13,315,68,10,0
186,Anthousa,38.025,23.876,2019-05-24,600,17,10,315,58,10,0
187,Anthousa,38.025,23.876,2019-05-24,900,21,14,315,45,10,0
188,Anthousa,38.025,23.876,2019-05-24,1200,23,10,270,44,10,0
189,Anthousa,38.025,23.876,2019-05-24,1500,23,6,45,43,10,0
190,Anthousa,38.025,23.876,2019-05-24,1800,21,7,155,52,10,0
191,Anthousa,38.025,23.876,2019-05-24,2100,20,10,205,61,10,0
192,Anthousa,38.025,23.876,2019-05-25,0,18,8,45,67,10,0
193,Anthousa,38.025,23.876,2019-05-25,300,17,9,270,73,10,0
194,Anthousa,38.025,23.876,2019-05-25,600,18,8,315,59,10,0
195,Anthousa,38.025,23.876,2019-05-25,900,23,6,270,48,10,0
196,Anthousa,38.025,23.876,2019-05-25,1200,25,10,225,44,10,0
197,Anthousa,38.025,23.876,2019-05-25,1500,25,13,180,41,10,0
198,Anthousa,38.025,23.876,2019-05-25,1800,22,13,180,53,10,0
199,Anthousa,38.025,23.876,2019-05-25,2100,21,8,180,60,10,0
200,Anthousa,38.025,23.876,2019-05-26,0,19,5,205,63,10,0
201,Anthousa,38.025,23.876,2019-05-26,300,18,4,45,67,10,0
202,Anthousa,38.025,23.876,2019-05-26,600,20,3,205,51,10,0
203,Anthousa,38.025,23.876,2019-05-26,900,26,5,90,40,10,0
204,Anthousa,38.025,23.876,2019-05-26,1200,25,10,115,39,10,0
205,Anthousa,38.025,23.876,2019-05-26,1500,26,14,155,38,10,0
206,Anthousa,38.025,23.876,2019-05-26,1800,23,11,155,48,10,0
207,Anthousa,38.025,23.876,2019-05-26,2100,22,4,155,54,10,0
208,Anthousa,38.025,23.876,2019-05-27,0,21,4,135,59,10,0
209,Anthousa,38.025,23.876,2019-05-27,300,19,3,25,58,10,0
210,Anthousa,38.025,23.876,2019-05-27,600,20,5,45,46,10,0
211,Anthousa,38.025,23.876,2019-05-27,900,23,7,45,38,10,0
212,Anthousa,38.025,23.876,2019-05-27,1200,25,10,90,40,10,0
213,Anthousa,38.025,23.876,2019-05-27,1500,26,12,135,42,10,0
214,Anthousa,38.025,23.876,2019-05-27,1800,24,12,155,56,10,0
215,Anthousa,38.025,23.876,2019-05-27,2100,22,8,155,63,10,0
216,Anthousa,38.025,23.876,2019-05-28,0,21,7,180,68,10,0
217,Anthousa,38.025,23.876,2019-05-28,300,20,6,180,67,10,0
218,Anthousa,38.025,23.876,2019-05-28,600,20,8,180,56,10,0
219,Anthousa,38.025,23.876,2019-05-28,900,25,12,180,48,10,0
220,Anthousa,38.025,23.876,2019-05-28,1200,25,14,180,49,10,0
221,Anthousa,38.025,23.876,2019-05-28,1500,25,15,180,50,10,0
222,Anthousa,38.025,23.876,2019-05-28,1800,23,13,180,68,10,0
223,Anthousa,38.025,23.876,2019-05-28,2100,23,10,45,62,10,0
224,Anthousa,38.025,23.876,2019-05-29,0,20,11,270,62,10,0
225,Anthousa,38.025,23.876,2019-05-29,300,19,12,270,66,10,0
226,Anthousa,38.025,23.876,2019-05-29,600,19,10,315,52,10,0
227,Anthousa,38.025,23.876,2019-05-29,900,25,8,270,38,10,0
228,Anthousa,38.025,23.876,2019-05-29,1200,26,12,45,39,10,0
229,Anthousa,38.025,23.876,2019-05-29,1500,27,15,205,39,10,0
230,Anthousa,38.025,23.876,2019-05-29,1800,25,14,205,50,10,0
231,Anthousa,38.025,23.876,2019-05-29,2100,22,10,225,53,10,0
232,Anthousa,38.025,23.876,2019-05-30,0,20,11,270,58,10,0
233,Anthousa,38.025,23.876,2019-05-30,300,19,11,315,61,10,0
234,Anthousa,38.025,23.876,2019-05-30,600,20,9,315,46,10,0
235,Anthousa,38.025,23.876,2019-05-30,900,27,8,315,36,10,0
236,Anthousa,38.025,23.876,2019-05-30,1200,28,10,270,35,10,0
237,Anthousa,38.025,23.876,2019-05-30,1500,29,12,225,34,10,0
238,Anthousa,38.025,23.876,2019-05-30,1800,27,13,225,43,10,0
239,Anthousa,38.025,23.876,2019-05-30,2100,25,10,225,46,10,0
240,Anthousa,38.025,23.876,2019-05-31,0,23,7,270,47,10,0
