name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
Kato Soulion,38.168,24.016,2014-01-10,300,6,6,205,85,10,0
Kato Soulion,38.168,24.016,2014-01-10,600,5,6,205,84,10,0
Kato Soulion,38.168,24.016,2014-01-10,900,9,10,205,70,10,0
Kato Soulion,38.168,24.016,2014-01-10,1200,11,8,205,71,10,0
Kato Soulion,38.168,24.016,2014-01-10,1500,12,5,205,72,10,0
Kato Soulion,38.168,24.016,2014-01-10,1800,10,7,205,77,10,0
Kato Soulion,38.168,24.016,2014-01-10,2100,9,7,270,78,10,0
Kato Soulion,38.168,24.016,2014-01-11,0,8,8,315,79,10,0
Kato Soulion,38.168,24.016,2014-01-11,300,8,9,315,81,10,0
Kato Soulion,38.168,24.016,2014-01-11,600,7,9,335,82,10,0
Kato Soulion,38.168,24.016,2014-01-11,900,9,11,335,68,10,0
Kato Soulion,38.168,24.016,2014-01-11,1200,10,9,335,73,10,0
Kato Soulion,38.168,24.016,2014-01-11,1500,10,8,335,78,10,0
Kato Soulion,38.168,24.016,2014-01-11,1800,8,3,335,86,10,0
Kato Soulion,38.168,24.016,2014-01-11,2100,7,4,45,85,10,0
Kato Soulion,38.168,24.016,2014-01-12,0,7,6,270,85,10,0
Kato Soulion,38.168,24.016,2014-01-12,300,6,3,270,87,10,0
Kato Soulion,38.168,24.016,2014-01-12,600,6,6,225,87,10,0
Kato Soulion,38.168,24.016,2014-01-12,900,9,5,225,72,10,0
Kato Soulion,38.168,24.016,2014-01-12,1200,10,5,135,77,10,0
Kato Soulion,38.168,24.016,2014-01-12,1500,11,6,45,82,10,0
Kato Soulion,38.168,24.016,2014-01-12,1800,9,2,115,87,10,0
Kato Soulion,38.168,24.016,2014-01-12,2100,8,1,25,88,10,0
Kato Soulion,38.168,24.016,2014-01-13,0,8,3,65,88,10,0
Kato Soulion,38.168,24.016,2014-01-13,300,6,3,45,88,10,0
Kato Soulion,38.168,24.016,2014-01-13,600,6,4,45,88,10,0
Kato Soulion,38.168,24.016,2014-01-13,900,9,6,45,75,10,0
Kato Soulion,38.168,24.016,2014-01-13,1200,10,7,25,79,8,0
Kato Soulion,38.168,24.016,2014-01-13,1500,9,8,25,82,5,0
Kato Soulion,38.168,24.016,2014-01-13,1800,8,4,360,90,9,0
Kato Soulion,38.168,24.016,2014-01-13,2100,8,4,25,92,2,0
Kato Soulion,38.168,24.016,2014-01-14,0,7,4,25,93,10,0
Kato Soulion,38.168,24.016,2014-01-14,300,7,5,25,93,10,0
Kato Soulion,38.168,24.016,2014-01-14,600,7,1,90,94,10,0
Kato Soulion,38.168,24.016,2014-01-14,900,9,6,360,83,10,0
Kato Soulion,38.168,24.016,2014-01-14,1200,10,7,205,83,10,0
Kato Soulion,38.168,24.016,2014-01-14,1500,10,8,25,83,10,0
Kato Soulion,38.168,24.016,2014-01-14,1800,8,1,25,89,10,0
Kato Soulion,38.168,24.016,2014-01-14,2100,7,1,45,89,10,0
Kato Soulion,38.168,24.016,2014-01-15,0,7,3,135,90,10,0
Kato Soulion,38.168,24.016,2014-01-15,300,7,6,135,91,10,0
Kato Soulion,38.168,24.016,2014-01-15,600,7,9,155,90,10,0
Kato Soulion,38.168,24.016,2014-01-15,900,10,12,180,75,10,0
